{'评论时间': '2024-02-06 18:59:08', 'IP属地': '河南', '评论内容': '隔着千万里下了一场雨，然后黑到了千里之外的河南，还有数千里之外的东北，我找了一个相同点，奥原来是我们火了有人急了'}
{'评论时间': '2024-02-06 13:36:12', 'IP属地': '湖北', '评论内容': '我是湖北人，今年下的是冻雪，铲不动，望理解，我们湖北人其实很热情的，祝大家平安到家'}
{'评论时间': '2024-02-06 21:24:32', 'IP属地': '四川', '评论内容': '虽然我不是湖北人，但是我看哭了啊，湖北真的太不容易了'}
{'评论时间': '2024-02-06 10:25:42', 'IP属地': '江苏', '评论内容': '谁告诉我一下今天湖北高速情况'}
{'评论时间': '2024-02-06 23:15:03', 'IP属地': '辽宁', '评论内容': '谢谢你给那些不懂事儿的，昧着良心的黑喷子上一堂课'}
{'评论时间': '2024-02-06 17:42:12', 'IP属地': '广西', '评论内容': '那些带节奏的人，骂完东北骂河南，骂完河南骂湖北，终于把哈尔滨731的热度压下去了，够了'}
{'评论时间': '2024-02-06 21:55:28', 'IP属地': '内蒙古', '评论内容': '就在一个地方跑上下班接娃买菜，为环保做贡献你就选电车，其余的就不要考虑了'}
{'评论时间': '2024-02-06 23:46:55', 'IP属地': '湖南', '评论内容': '湖北行  一定行  必须行'}
{'评论时间': '2024-02-06 01:05:15', 'IP属地': '山东', '评论内容': '是要打雪仗吗'}
{'评论时间': '2024-02-06 23:40:37', 'IP属地': '重庆', '评论内容': '冻雨奇观'}
{'评论时间': '2024-02-06 00:40:11', 'IP属地': '山东', '评论内容': '我爸是绿皮火车司机，被返聘回去了，关键时刻还得是咱们的绿皮老大哥啊'}
{'评论时间': '2024-02-06 22:59:33', 'IP属地': '湖南', '评论内容': '太惨了，疫情和冰灾2次灾害都是重灾区'}
{'评论时间': '2024-02-06 17:01:55', 'IP属地': '浙江', '评论内容': '湖北辛苦了加油'}
{'评论时间': '2024-02-06 00:17:07', 'IP属地': '吉林', '评论内容': '冻雨在过去多数都在北方，南方好不容易下一次大暴雪，还整出来冻雨了！你让南方人咋想招？都没经历过，哪来那么多经验啊？这回就能明白北方的冬天开车有多难了！别埋怨，大家齐心协力度过难关！'}
{'评论时间': '2024-02-06 17:21:45', 'IP属地': '上海', '评论内容': '湖北人民谢谢你'}
{'评论时间': '2024-02-06 13:38:44', 'IP属地': '湖北', '评论内容': '我们湖北的人民是有爱'}
{'评论时间': '2024-02-06 23:30:14', 'IP属地': '海南', '评论内容': '海南电车的天堂'}
{'评论时间': '2024-02-06 20:25:00', 'IP属地': '辽宁', '评论内容': '辽宁人民感激湖北英雄'}
{'评论时间': '2024-02-06 19:27:35', 'IP属地': '北京', '评论内容': '人说了，武汉是冻雨，跟其他地方不一样……'}
{'评论时间': '2024-02-06 23:28:22', 'IP属地': '广西', '评论内容': '外地的人都不了解冻雨'}
{'评论时间': '2024-02-06 20:58:12', 'IP属地': '河南', '评论内容': '电车的初衷不就是省钱吗'}
{'评论时间': '2024-02-06 15:17:32', 'IP属地': '四川', '评论内容': '昨晚有个沙雕还做了个视频'}
{'评论时间': '2024-02-06 19:07:46', 'IP属地': '河南', '评论内容': '湖北加油'}
{'评论时间': '2024-02-06 01:57:41', 'IP属地': '湖南', '评论内容': '天上下冰碴子路上结冰  在城里不能坐车回乡下过年了'}
{'评论时间': '2024-02-06 19:15:02', 'IP属地': '湖南', '评论内容': '湖南 湖北没盐吗'}
{'评论时间': '2024-02-06 13:47:06', 'IP属地': '江苏', '评论内容': '这次冻雨会把不好的病毒全部冻死'}
{'评论时间': '2024-02-06 12:24:13', 'IP属地': '湖北', '评论内容': '我不爱雪，不爱冬天了，我从上周六，每天步行公交转地铁，一天早晚2小时通勤上班，一天上8小时班，我通勤时间就4小时，我宁愿过武汉夏天也不愿意过武汉冬天，别再喷湖北了，天灾时候不应该互相鼓励互相感动嘛，湖北各个单位都在抓紧时间让大家安全出行啦'}
{'评论时间': '2024-02-06 22:03:08', 'IP属地': '贵州', '评论内容': '回家的贵州老乡们还是选杭长高速广西方向来，别走沪昆'}
{'评论时间': '2024-02-06 05:59:10', 'IP属地': '河南', '评论内容': '湖北的冻雨比钢铁还硬，确实铲不动，可以理解！'}
{'评论时间': '2024-02-06 14:12:21', 'IP属地': '山东', '评论内容': '铲雪车，救援车，都是电车吗？'}
{'评论时间': '2024-02-06 23:34:57', 'IP属地': '贵州', '评论内容': '今年没走之前天气预报就提前两三天说了31号有大暴雪，冻雨！我们从青岛31号一大早开车就跑，晚上经过河南的时候真的就下大暴雪，路都看不见，然后路上有出现好多起两车相撞的，最大的问题是那些人还一点安全意识都没有，没有放三脚架，也没有第一时间把车开安全地带去，人也在高速中间的车旁边站着'}
{'评论时间': '2024-02-06 21:24:24', 'IP属地': '江苏', '评论内容': '还是不能买电车'}
{'评论时间': '2024-02-06 10:52:51', 'IP属地': '山东', '评论内容': '南方不是不下雪吗'}
{'评论时间': '2024-02-06 19:50:15', 'IP属地': '广东', '评论内容': '不懂什么是冻雨'}
{'评论时间': '2024-02-06 22:35:41', 'IP属地': '新疆', '评论内容': '我们新疆以前也是，后来，只要下雪就扫，扫不及了撒盐。反正就是不让他冻着'}
{'评论时间': '2024-02-06 22:37:37', 'IP属地': '湖北', '评论内容': '把那些嘴巴贱的喷子喊来打雪仗吧。让他们看看，这个到底是雪还是冻雨'}
{'评论时间': '2024-02-06 23:35:21', 'IP属地': '辽宁', '评论内容': '武汉这个倒霉孩子，这咋受罪的总是他呀'}
{'评论时间': '2024-02-06 23:16:47', 'IP属地': '山东', '评论内容': '还是电车好，这可是新能源！！！！！！'}
{'评论时间': '2024-02-06 22:43:10', 'IP属地': '陕西', '评论内容': '我坐电车从来没感到过暖和'}
{'评论时间': '2024-02-06 11:30:24', 'IP属地': '湖北', '评论内容': '又下大了，我开始不期待下雪了，我想回家'}
{'评论时间': '2024-02-06 11:22:53', 'IP属地': '湖北', '评论内容': '2024的武汉不一样'}
{'评论时间': '2024-02-06 09:26:51', 'IP属地': '四川', '评论内容': '统一回复：川川看到了！！！鄂鄂加油'}
{'评论时间': '2024-02-06 15:59:46', 'IP属地': '广东', '评论内容': '湖北高速：非常重视，正在核实'}
{'评论时间': '2024-02-06 14:41:40', 'IP属地': '广东', '评论内容': '湖北真的没有暖气是真的吗'}
{'评论时间': '2024-02-06 18:50:16', 'IP属地': '湖南', '评论内容': '给湖北政府和湖北人民点赞'}
{'评论时间': '2024-02-06 19:38:06', 'IP属地': '湖南', '评论内容': '怀疑冻雨的要我说都是间谍，破坏民族团结，建议全部抓起来'}
{'评论时间': '2024-02-06 19:38:21', 'IP属地': '湖北', '评论内容': '电车不建议跑长途，所以我喜欢油车的那种加满一箱油跑1000公里那种'}
{'评论时间': '2024-02-06 20:56:38', 'IP属地': '湖南', '评论内容': '喊北方的喷子来撒点融雪剂就化啦'}
